Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2023-08-17 23:32:00 UTC,Staking Income,SOL,0.000327725,USD,21.86,0.01,0.01,0,
2023-08-16 21:45:29 UTC,Staking Income,SOL,0.000323606,USD,22.735,0.01,0.01,0,
2023-08-16 09:18:42 UTC,Staking Income,ADA,0.07867,USD,0.27805,0.02,0.02,0,
2023-08-15 20:38:19 UTC,Staking Income,SOL,0.000327284,USD,24.095,0.01,0.01,0,
2023-08-13 04:07:51 UTC,Staking Income,SOL,0.000324872,USD,24.825,0.01,0.01,0,
2023-08-13 03:09:58 UTC,Staking Income,SOL,0.00032888,USD,24.815,0.01,0.01,0,
2023-08-12 04:43:06 UTC,Staking Income,ADA,0.074328,USD,0.29305,0.02,0.02,0,
2023-08-12 00:06:47 UTC,Staking Income,SOL,0.000329808,USD,24.56,0.01,0.01,0,
2023-08-11 07:32:21 UTC,Staking Income,ADA,0.076762,USD,0.296,0.02,0.02,0,
2023-08-06 02:12:28 UTC,Staking Income,SOL,0.000336085,USD,22.865,0.01,0.01,0,
2023-08-04 19:36:20 UTC,Staking Income,SOL,0.000331706,USD,22.915,0.01,0.01,0,
2023-08-03 03:29:12 UTC,Staking Income,ADA,0.073644,USD,0.29935,0.02,0.02,0,
2023-08-02 17:02:41 UTC,Staking Income,SOL,0.00033485,USD,23.1,0.01,0.01,0,
2023-08-02 04:01:55 UTC,Staking Income,SOL,0.000335402,USD,23.685,0.01,0.01,0,
2023-08-02 03:43:38 UTC,Staking Income,ADA,0.076448,USD,0.308,0.02,0.02,0,
2023-08-01 18:42:23 UTC,Staking Income,SOL,0.000326613,USD,23.525,0.01,0.01,0,
2023-07-29 02:41:21 UTC,Staking Income,SOL,0.000333945,USD,24.975,0.01,0.01,0,
2023-07-27 15:06:29 UTC,Staking Income,SOL,0.000333352,USD,25.545,0.01,0.01,0,
2023-07-27 13:56:26 UTC,Staking Income,SOL,0.000333209,USD,25.505,0.01,0.01,0,
2023-07-26 21:33:13 UTC,Staking Income,ADA,0.078586,USD,0.30895,0.02,0.02,0,
2023-07-26 18:26:19 UTC,Staking Income,SOL,0.000326592,USD,24.995,0.01,0.01,0,
2023-07-21 21:03:16 UTC,Staking Income,ADA,0.07731,USD,0.31345,0.02,0.02,0,
